,area_type,code,area_name,lon,lat,area_store,area_sim_store,tot_customer,avg_take
727,발달상권,1001230,인사동,126.985318,37.57309615,53.57142857,70.71428571,562219.0,3712484323.0
728,발달상권,1001182,홍익대학교 주변,126.9215178,37.55213182,291.7142857,356.0,5144481.0,23007451542.0
729,발달상권,1001173,서울 강동구 명일역,127.1439044,37.55189902,12.14285714,19.71428571,861833.0,340791880.0
730,발달상권,1001174,등촌역,126.8653901,37.54999086,2.0,3.714285714,205219.0,96969139.0
731,발달상권,1001175,서울 강동구 고덕역,127.1545227,37.55343532,11.42857143,23.42857143,558350.0,1113816682.0
732,발달상권,1001176,서울 중구 약수역_1,127.0108079,37.55418465,1.0,3.0,78682.0,45304590.0
733,발달상권,1001177,서울 중구 약수역_2,127.0098459,37.55431088,2.0,5.0,236745.0,378369811.0
734,발달상권,1001178,서울 마포구 홍대입구역_1,126.9190708,37.55447276,13.57142857,15.57142857,508957.0,597735686.0
735,발달상권,1001179,강서구청,126.850662,37.55268515,4.714285714,8.571428571,805474.0,623740051.0
736,발달상권,1001180,신촌역,126.9357412,37.55425776,16.85714286,22.28571429,1552320.0,702643745.0
737,발달상권,1001191,왕십리역_1,127.0337159,37.55900968,3.0,3.0,61790.0,45304590.0
738,골목상권,1000204,전농로3길,127.0565302,37.57055173,5.142857143,6.142857143,273496.0,263430424.0
739,골목상권,1000205,전농로4길,127.0590852,37.56641491,1.714285714,2.714285714,304585.0,11697816.0
740,골목상권,1000206,제기로21길,127.0412927,37.58881218,1.0,2.0,454915.0,3665718.0
741,골목상권,1000264,돌곶이로27길,127.0537179,37.61089046,2.571428571,4.428571429,430374.0,31783974.0
742,골목상권,1000265,돌곶이로28길,127.0577626,37.61260043,1.428571429,1.428571429,200223.0,45304590.0
743,골목상권,1000266,돌곶이로41길,127.046281,37.6174438,4.0,4.857142857,209626.0,45304590.0
744,전통시장,1001357,장미원골목시장,127.0143676,37.64500415,0.857142857,0.857142857,249557.0,45304590.0
745,전통시장,1001358,수유북부시장,127.0160994,37.63632745,3.0,3.0,21547.0,45304590.0
746,전통시장,1001348,동북시장,127.0191768,37.62016329,0.0,0.0,36729.0,45304590.0
747,전통시장,1001349,방천골목시장,127.0332303,37.61231256,1.0,2.0,375022.0,30894281.0
748,전통시장,1001350,숭인시장,127.0292554,37.61353896,4.571428571,6.285714286,56641.0,118708344.0
749,전통시장,1001351,솔샘시장,127.019675,37.61937935,2.0,2.142857143,100389.0,45304590.0
750,전통시장,1001409,화곡중앙골목시장,126.8391464,37.53455995,0.0,1.571428571,156310.0,83475489.0
751,전통시장,1001410,대원종합시장,126.8364545,37.54452131,3.0,3.0,30391.0,45304590.0
752,전통시장,1001411,남부골목시장,126.8601824,37.53298295,7.714285714,8.714285714,305432.0,25422197.0
753,전통시장,1001471,영동전통시장,127.0241815,37.50917766,2.571428571,2.571428571,256992.0,62162443.0
754,전통시장,1001472,논현종합시장,127.0343499,37.50989594,1.0,1.0,28301.0,45304590.0
755,전통시장,1001473,청담삼익시장,127.0576816,37.52236575,0.285714286,0.285714286,23616.0,45304590.0
756,발달상권,1001251,서울 강북구 미아삼거리역_1,127.0308067,37.61263758,12.57142857,19.57142857,566148.0,1218453058.0
757,발달상권,1001220,서울 종로구 동대문역_2,127.0128705,37.57134843,5.428571429,6.857142857,685616.0,256601938.0
758,발달상권,1001221,장안동사거리,127.071439,37.57150771,6.285714286,17.28571429,745561.0,943925856.0
759,발달상권,1001222,동묘앞역,127.0143312,37.57332144,4.285714286,5.285714286,94620.0,81460943.0
760,발달상권,1001223,서울 종로구 광화문역_2,126.972221,37.57224686,75.71428571,99.14285714,835414.0,4297580738.0
761,발달상권,1001224,서울 동대문구 신설동역_1,127.0241686,37.57423885,6.428571429,6.428571429,252932.0,185480745.0
762,발달상권,1001225,신설동역,127.0214291,37.57431146,2.285714286,5.857142857,217325.0,156606291.0
763,발달상권,1001197,장한평역_2,127.0614369,37.56320616,8.0,9.0,342648.0,192183888.0
764,발달상권,1001198,서울 강서구 송정역,126.8100579,37.56121331,8.428571429,11.14285714,295188.0,289139999.0
765,발달상권,1001168,남영역,126.9718135,37.54221652,7.571428571,14.42857143,148390.0,892300940.0
766,발달상권,1001169,서울 용산구 숙대입구역,126.9800742,37.5401459,13.0,16.28571429,122192.0,313234176.0
767,발달상권,1001170,공덕역,126.9511724,37.54514705,4.0,7.857142857,200610.0,230501766.0
768,발달상권,1001171,서울 마포구 공덕역_2,126.9524397,37.54533677,2.714285714,3.714285714,149142.0,13644178.0
769,발달상권,1001172,어린이대공원역,127.0718465,37.54789234,6.428571429,14.0,332346.0,547117361.0
770,골목상권,1000052,녹사평대로32길,126.9918765,37.53350693,6.166666667,7.166666667,191113.0,147102049.0
771,골목상권,1000053,녹사평대로40나길,126.9889007,37.53510146,8.333333333,8.333333333,201525.0,181328677.0
772,골목상권,1000055,대사관로34길,127.0058492,37.53114644,2.166666667,2.166666667,176420.0,78323570.0
773,골목상권,1000133,긴고랑로20길,127.0839119,37.56004785,5.666666667,6.666666667,356026.0,59387352.0
774,골목상권,1000201,장한로5길,127.0646983,37.56520463,7.142857143,10.14285714,406232.0,138358426.0
775,골목상권,1000202,장한로8길,127.0685907,37.56382391,2.857142857,2.857142857,341116.0,11654745.0
776,골목상권,1000203,전농로29길,127.0549524,37.58009401,1.857142857,1.857142857,633421.0,45304590.0
777,전통시장,1001343,장위전통시장,127.0512041,37.61154029,1.857142857,1.857142857,190009.0,7610397.0
778,전통시장,1001344,번동시장,127.0479938,37.62131736,3.0,3.0,7401.0,45304590.0
779,골목상권,1000054,녹사평대로46길,126.9884817,37.53788551,10.5,10.83333333,171504.0,769688744.0
780,전통시장,1001345,새석관시장,127.0526741,37.60821499,3.0,3.0,28488.0,45304590.0
