,code,station,07-10 on avg,07-10 off avg,10-17 on avg,10-17 off avg,17-22 on avg,17-22 off avg,lat,long,07-10 totavg,10-17 totavg,17-22 totavg,commute,Total,com,coms,many75,trans
26,1101,경기상고,184.1636364,200.7151515,224.9714286,53.24415584,182.8072727,30.03272727,37.5875739,126.9694326,192.4393939,139.1077922,106.42,298.8593939,437.9671861,0.682378505,0,0,0
27,1102,신교동,397.7411003,168.8608414,292.9680999,117.0651872,309.9436893,76.25825243,37.58330295,126.970341,283.3009709,205.0166436,193.1009709,476.4019417,681.4185853,0.699132592,0,0,0
28,1103,경기상고,28.9030303,327.569697,83.83636364,146.0337662,57.70545455,157.7309091,37.58717108,126.9696701,178.2363636,114.9350649,107.7181818,285.9545455,400.8896104,0.713299966,0,0,0
29,1104,경복고교,142.625,359.5486111,210.2172619,90.55654762,149.0208333,52.07083333,37.58511248,126.9710437,251.0868056,150.3869048,100.5458333,351.6326389,502.0195437,0.700436155,0,0,0
30,1105,청운중학교,9.319444444,175.4444444,40.88392857,27.97321429,17.80416667,13.82083333,37.58790085,126.9725944,92.38194444,34.42857143,15.8125,108.1944444,142.6230159,0.758604379,1,0,1
31,1106,자하문고개.윤동주문학관,168.2152778,62.72916667,344.4910714,57.5327381,229.8708333,23.65416667,37.59219358,126.9671282,115.4722222,201.0119048,126.7625,242.2347222,443.246627,0.546500994,0,0,0
32,1107,자하문고개.윤동주문학관,11.34722222,204.5,39.94047619,369.9821429,36.1375,237.6041667,37.59225741,126.9671677,107.9236111,204.9613095,136.8708333,244.7944444,449.755754,0.544283074,0,0,0
33,1108,청운중학교,4.798611111,111.1597222,93.66369048,103.4375,13.76666667,63.7,37.58812866,126.9724615,57.97916667,98.55059524,38.73333333,96.7125,195.2630952,0.495293286,0,0,1
34,1109,경복고교,71.95138889,416.6805556,168.2827381,119.9583333,116.3333333,110.9833333,37.58504593,126.971148,244.3159722,144.1205357,113.6583333,357.9743056,502.0948413,0.712961529,0,0,1
35,1110,통인시장종로구보건소,203.9482201,318.8673139,248.6255201,318.6213592,285.3669903,237.6116505,37.58033173,126.9711089,261.407767,283.6234397,261.4893204,522.8970874,806.520527,0.648336986,0,1,1
36,1111,통인시장종로구보건소,64.69444444,433.1840278,144.8080357,221.3080357,178.1833333,232.2979167,37.58048929,126.971244,248.9392361,183.0580357,205.240625,454.1798611,637.2378968,0.712732032,0,0,0
37,1112,효자동,64.02777778,523.4444444,113.5491071,141.2901786,128.4833333,167.5729167,37.58308184,126.9705348,293.7361111,127.4196429,148.028125,441.7642361,569.183879,0.776136241,1,0,1
38,1113,사직단.어린이도서관,131.2493438,112.7532808,177.0427447,83.70303712,215.0472441,73.03149606,37.57511252,126.9680206,122.0013123,130.3728909,144.0393701,266.0406824,396.4135733,0.671119004,0,0,0
39,1114,사직동주민센터,405.2197531,377.3925926,407.6275132,243.0507937,646.0518519,215.4592593,37.57609006,126.9713179,391.3061728,325.3391534,430.7555556,822.0617284,1147.400882,0.716455549,0,1,0
40,1115,경복궁역,202.4647436,954.1314103,251.7706044,818.375,294.8096154,673.7019231,37.57688877,126.9722922,578.2980769,535.0728022,484.2557692,1062.553846,1597.626648,0.665082701,0,1,0
41,1116,경복궁역,1092.388889,301.9895833,748.2991071,384.922619,1016.510417,368.28125,37.57764064,126.9721844,697.1892361,566.6108631,692.3958333,1389.585069,1956.195933,0.710350659,0,1,0
42,1117,경복궁,63.03911565,374.8741497,100.7740525,175.2427114,177.894898,89.32142857,37.57577149,126.9787905,218.9566327,138.0083819,133.6081633,352.5647959,490.5731778,0.718679316,0,0,0
43,1118,KT광화문지사,511.0869565,193.2862319,423.3462733,124.0582298,576.5097826,89.57608696,37.5724045,126.9772023,352.1865942,273.7022516,333.0429348,685.229529,958.9317805,0.714575888,0,1,0
44,1120,광화문,147.9791667,648.625,327.8095238,337.7202381,839.5416667,179.15,37.57003982,126.9764107,398.3020833,332.764881,509.3458333,907.6479167,1240.412798,0.731730532,1,1,1
45,1123,서울역사박물관.경교장.강북삼성병원,50.68766404,356.9895013,142.5995501,127.8200225,267.4188976,97.68661417,37.56993064,126.9713844,203.8385827,135.2097863,182.5527559,386.3913386,521.6011249,0.740779343,1,0,1
46,1124,광화문.금호아시아나본관앞,22.35416667,617.5104167,84.57589286,167.28125,178.55,109.35,37.57020901,126.9731311,319.9322917,125.9285714,143.95,463.8822917,589.8108631,0.786493299,1,0,0
47,1125,광화문,44.20833333,40.5,193.2053571,59.23214286,609.5875,60.6875,37.57023908,126.9757675,42.35416667,126.21875,335.1375,377.4916667,503.7104167,0.749421998,1,0,0
48,1126,세종문화회관,120.0533981,539.1100324,172.5762829,366.4216366,314.7174757,371.8970874,37.57266095,126.9767122,329.5817152,269.4989598,343.3072816,672.8889968,942.3879565,0.714025463,0,1,0
49,1127,서울지방경찰청.경복궁역,187.9810606,497.0435606,182.2524351,302.3904221,251.3829545,290.9670455,37.57590104,126.9714955,342.5123106,242.3214286,271.175,613.6873106,856.0087392,0.716917109,0,1,0
50,1128,사직단,112.2462121,390.4356061,88.06087662,206.2832792,85.15227273,190.2579545,37.57494659,126.9680705,251.3409091,147.1720779,137.7051136,389.0460227,536.2181006,0.725536908,0,0,0
51,1129,광화문광화문빌딩,41.00520833,449.3333333,73.3125,147.2142857,179.046875,73.809375,37.56969249,126.9768398,245.1692708,110.2633929,126.428125,371.5973958,481.8607887,0.771171684,1,0,0
52,1130,덕성여중고,77.41041667,170.4916667,144.9142857,137.4776786,211.09875,82.6025,37.57573943,126.9819731,123.9510417,141.1959821,146.850625,270.8016667,411.9976488,0.65728935,0,0,1
53,1131,안국역.종로경찰서.인사동,115.9131944,345.7673611,263.5491071,219.4047619,432.5729167,169.2916667,37.57597118,126.9840963,230.8402778,241.4769345,300.9322917,531.7725694,773.249504,0.687711491,0,1,1
54,1132,국민은행세검정지점,218.2116402,110.3439153,166.0136054,102.2653061,106.3174603,114.9047619,37.604688,126.960969,164.2777778,134.1394558,110.6111111,274.8888889,409.0283447,0.672053398,0,0,0
55,1133,세검정초등학교,396.4583333,152.5863095,277.942602,128.2716837,183.0892857,116.4714286,37.60248796,126.9612836,274.5223214,203.1071429,149.7803571,424.3026786,627.4098214,0.676276756,0,0,0
